id,dim0,dim1,dim2,dim3
445,-131.72794,94.20329,40.658745,-164.88278
446,-121.37458,79.62636,74.32609,-172.12973
447,-117.00505,73.104095,90.438705,-176.23303
448,-121.206276,78.939575,77.18633,-173.51695
449,-123.2059,81.6205,71.37519,-172.49672
450,-123.058334,81.18809,73.010185,-173.23398
451,-122.04583,79.51533,77.57379,-174.64032
452,-122.16801,79.473206,78.27764,-175.15915
453,-122.03709,79.080894,79.77284,-175.83777
454,-124.08165,81.819176,73.845894,-174.80269
455,-120.74005,76.793365,86.36296,-178.04768
456,-119.45094,74.72429,91.86144,-179.66708
457,-123.57082,80.439514,78.90305,-177.02411
458,-124.84759,82.06828,75.61941,-176.6069
459,-123.822105,80.37205,80.25205,-178.03708
460,-125.46783,82.519806,75.77112,-177.36299
461,-123.97073,80.15495,81.96108,-179.13628
462,-127.107346,84.46273,72.31869,-177.24666
463,-125.43775,81.8344,79.17559,-179.19887
464,-127.66743,84.84902,72.565926,-177.9899
465,-125.314766,81.24575,81.71192,-180.45749
466,-125.14841,80.78931,83.395546,-181.20105
467,-128.37622,85.223915,73.464714,-179.25204
468,-125.76573,81.25043,83.486244,-181.92047
469,-125.97811,81.343925,83.852455,-182.35184
470,-127.296295,83.01672,80.50757,-181.94595
471,-126.88206,82.20529,83.02808,-182.87997
472,-129.0666,85.14057,76.64641,-181.74716
473,-124.75279,78.737564,92.36802,-185.69632
474,-128.03043,83.22317,82.37361,-183.76648
475,-130.01706,85.8727,76.67207,-182.79228
476,-129.6442,85.13221,78.99271,-183.66145
477,-128.54968,83.33997,83.84367,-185.13657
478,-129.42136,84.374054,82.00254,-185.07162
479,-130.74275,86.07226,78.5399,-184.60461
480,-129.11745,83.51927,85.18586,-186.48907
481,-130.51375,85.31584,81.51613,-185.98965
482,-128.59134,82.33325,89.18646,-188.11406
483,-133.16525,88.72999,74.53431,-185.03403
484,-132.1116,86.97639,79.34958,-186.53384
485,-137.6617,94.52555,62.664497,-183.39697
486,-133.5475,88.61948,76.62694,-186.59718
487,-134.08823,89.18765,75.86169,-186.76373
488,-134.3132,89.29777,76.192604,-187.18939
489,-131.72299,85.34634,86.18156,-189.86194
490,-134.92102,89.76695,76.20391,-187.85492
491,-132.18379,85.58294,86.80258,-190.70264
492,-133.87413,87.80131,82.13648,-189.97531
493,-133.14397,86.537544,85.723015,-191.15169
494,-128.5148,79.67551,102.54734,-195.36395
495,-136.00113,90.23,78.13021,-190.08383
496,-136.77672,91.15871,76.44774,-190.00174
497,-133.91492,86.807556,87.40904,-192.91333
498,-135.19534,88.42581,84.19404,-192.53777
499,-134.31242,86.94229,88.30137,-193.83426
500,-132.59766,84.26078,95.25154,-195.78865
501,-137.83327,91.60031,78.39033,-192.214
502,-138.26976,92.03439,77.898964,-192.41782
503,-135.72963,88.133255,87.82898,-195.11232
504,-137.44412,90.390785,83.05789,-194.35359
505,-135.90344,87.95642,89.43142,-196.18036
506,-149.19652,106.29829,48.1279,-187.93127
507,-136.94629,89.030655,88.06637,-196.56238
508,-135.42656,86.63142,94.342896,-198.35863
509,-137.77908,89.79828,87.4403,-197.12216
510,-138.11938,90.080635,87.34555,-197.43932
511,-137.5397,89.035446,90.40826,-198.49141
512,-139.90955,92.23466,83.4083,-197.22028
513,-140.82806,93.345726,81.358116,-197.09146
514,-141.09802,93.52452,81.51529,-197.47055
515,-140.96721,93.12033,83.07204,-198.18306
516,-141.26753,93.3413,83.13339,-198.54248
517,-141.09283,92.87757,84.821266,-199.27936
518,-142.39319,94.53616,81.478386,-198.85522
519,-143.09804,95.34584,80.125786,-198.87747
520,-142.88408,94.81274,82.01379,-199.68158
521,-141.63516,92.79285,87.41961,-201.29373
522,-143.59457,95.41384,81.75623,-200.31094
523,-141.74493,92.533066,89.19319,-202.3862
524,-141.95914,92.62757,89.561424,-202.82065
525,-143.9785,95.32368,83.75081,-201.82208
526,-141.94035,92.17144,91.831955,-204.04642
527,-144.42917,95.54861,84.39146,-202.66257
528,-142.69208,92.8268,91.45978,-204.6576
529,-140.62994,89.65222,99.56013,-206.86644
530,-142.49123,92.11604,94.31358,-206.00598
531,-143.33794,93.11777,92.53925,-205.95065
532,-143.17963,92.67728,94.17292,-206.67554
533,-150.48228,102.82076,71.13673,-201.95404
534,-145.28842,95.29039,89.145775,-206.20398
535,-143.92212,93.10435,94.93783,-207.90076
536,-145.61911,95.336975,90.22494,-207.15497
537,-145.60576,95.101585,91.38215,-207.77563
538,-151.77473,103.62164,72.17274,-203.92467
539,-148.28621,98.53348,84.424484,-206.86465
540,-146.37604,95.579254,91.9977,-208.94904
541,-145.3981,93.95403,96.45476,-210.33438
542,-148.34319,97.98701,87.46165,-208.59335
543,-147.43028,96.45773,91.68462,-209.92078
544,-147.93753,96.97314,91.05729,-210.12674
545,-149.67896,99.26338,86.225334,-209.3638
546,-148.33842,97.125,91.875114,-211.01045
547,-147.0262,95.0215,97.458374,-212.65129
548,-149.12326,97.82129,91.42455,-211.61453
549,-147.66376,95.50064,97.53711,-213.38611
550,-146.50114,93.62505,102.54511,-214.87352
551,-146.78998,93.81881,102.70062,-215.27219
552,-151.05348,99.76453,89.129814,-212.4489
553,-150.33952,98.51338,92.71606,-213.6427
554,-152.15569,100.925674,87.55456,-212.77997
555,-152.14862,100.70104,88.68145,-213.39081
556,-148.78873,95.633484,101.34028,-216.69376
557,-152.30159,100.4963,90.344246,-214.46933
558,-153.06511,101.38304,88.829445,-214.46619
559,-157.2553,107.04977,76.40085,-212.19028
560,-153.85631,102.09575,88.31983,-215.04475
561,-154.10919,102.24858,88.54242,-215.44122
562,-154.2683,102.24968,89.171265,-215.95895
563,-154.14954,101.87885,90.60445,-216.61671
564,-153.83229,101.18777,92.89295,-217.5286
565,-154.61316,102.11826,91.22224,-217.45868
566,-155.47322,103.145706,89.3689,-217.37448
567,-155.3831,102.80104,90.78182,-218.05219
568,-155.08514,102.141624,92.98435,-218.93779
569,-155.74988,102.90387,91.71567,-218.96255
570,-156.52266,103.787735,90.25253,-218.99783
571,-156.37207,103.37256,91.78695,-219.67664
572,-156.83902,103.818245,91.35729,-219.94733
